parkhaus,link,status,freieplaetze,offen,zeitpunkt
Parkgarage am Central / Seilergraben,https://www.pls-zh.ch/parkhaus/central.jsp?pid=central,closed / ---,---,closed ,2019-11-17 19:15
Parkhaus Accu / Otto-Schütz-Weg,https://www.pls-zh.ch/parkhaus/accu.jsp?pid=accu,open /   74,  74,open ,2019-11-17 19:15
Parkhaus Albisriederplatz / Badenerstrasse 380,https://www.pls-zh.ch/parkhaus/albisriederplatz.jsp?pid=albisriederplatz,open /   60,  60,open ,2019-11-17 19:15
Parkhaus Bleicherweg / Beethovenstrasse 35,https://www.pls-zh.ch/parkhaus/bleicherweg.jsp?pid=bleicherweg,open /  199, 199,open ,2019-11-17 19:15
Parkhaus Center Eleven / Sophie-Täuber-Strasse 4,https://www.pls-zh.ch/parkhaus/center_11.jsp?pid=center_11,open /  227, 227,open ,2019-11-17 19:15
Parkhaus City Parking / Gessnerallee 14,https://www.pls-zh.ch/parkhaus/cp.jsp?pid=cp,open /  465, 465,open ,2019-11-17 19:15
Parkhaus Cityport / Affolternstrasse 56,https://www.pls-zh.ch/parkhaus/cityport.jsp?pid=cityport,open /  115, 115,open ,2019-11-17 19:15
Parkhaus Crowne Plaza / Badenerstrasse 420,https://www.pls-zh.ch/parkhaus/crowne_plaza.jsp?pid=crowne_plaza,open /  307, 307,open ,2019-11-17 19:15
Parkhaus Dorflinde / Schwamendingenstrasse 31,https://www.pls-zh.ch/parkhaus/dorflinde.jsp?pid=dorflinde,open /   48,  48,open ,2019-11-17 19:15
Parkhaus Feldegg / Riesbachstrasse 7,https://www.pls-zh.ch/parkhaus/feldegg.jsp?pid=feldegg,open /  137, 137,open ,2019-11-17 19:15
Parkhaus Globus / Löwenstrasse 50,https://www.pls-zh.ch/parkhaus/globus.jsp?pid=globus,open /  105, 105,open ,2019-11-17 19:15
Parkhaus Hardau II / Bullingerstrasse 73,https://www.pls-zh.ch/parkhaus/hardau.jsp?pid=hardau,open /   89,  89,open ,2019-11-17 19:15
Parkhaus Hauptbahnhof / Sihlquai 41,https://www.pls-zh.ch/parkhaus/hb.jsp?pid=hb,open /   97,  97,open ,2019-11-17 19:15
Parkhaus Hohe Promenade / Rämistrasse 22a,https://www.pls-zh.ch/parkhaus/promenade.jsp?pid=promenade,open /  368, 368,open ,2019-11-17 19:15
Parkhaus Jelmoli / Steinmühleplatz 1,https://www.pls-zh.ch/parkhaus/jelmoli.jsp?pid=jelmoli,open /  148, 148,open ,2019-11-17 19:15
Parkhaus Jungholz / Jungholzstrasse 19,https://www.pls-zh.ch/parkhaus/jungholz.jsp?pid=jungholz,open /    0,   0,open ,2019-11-17 19:15
Parkhaus Max-Bill-Platz / Armin-Bollinger-Weg,https://www.pls-zh.ch/parkhaus/max_bill_platz.jsp?pid=max_bill_platz,open /   83,  83,open ,2019-11-17 19:15
Parkhaus Messe Zürich AG / Andreasstrasse 65,https://www.pls-zh.ch/parkhaus/messe.jsp?pid=messe,open /  999, 999,open ,2019-11-17 19:15
Parkhaus Nordhaus / Siewerdtstrasse 8,https://www.pls-zh.ch/parkhaus/nordhaus.jsp?pid=nordhaus,open /  125, 125,open ,2019-11-17 19:15
Parkhaus Octavo / Brown-Boveri-Strasse 2,https://www.pls-zh.ch/parkhaus/octavo.jsp?pid=octavo,open /  109, 109,open ,2019-11-17 19:15
Parkhaus Opéra / Schillerstrasse 5,https://www.pls-zh.ch/parkhaus/opera.jsp?pid=opera,open /   93,  93,open ,2019-11-17 19:15
Parkhaus P West / Förrlibuckstrasse 151,https://www.pls-zh.ch/parkhaus/p_west.jsp?pid=p_west,open /  330, 330,open ,2019-11-17 19:15
Parkhaus Park Hyatt / Beethovenstrasse 21,https://www.pls-zh.ch/parkhaus/park_hyatt.jsp?pid=park_hyatt,open /  217, 217,open ,2019-11-17 19:15
Parkhaus Parkside / Sophie-Täuber-Strasse 10,https://www.pls-zh.ch/parkhaus/parkside.jsp?pid=parkside,open /   26,  26,open ,2019-11-17 19:15
Parkhaus Pfingstweid / Pfingstweidstrasse 1,https://www.pls-zh.ch/parkhaus/pfingstweid.jsp?pid=pfingstweid,open /  135, 135,open ,2019-11-17 19:15
Parkhaus Stampfenbach / Niklausstrasse 1,https://www.pls-zh.ch/parkhaus/stampfenbach.jsp?pid=stampfenbach,open /  173, 173,open ,2019-11-17 19:15
Parkhaus Talgarten / Nüschelerstrasse 31,https://www.pls-zh.ch/parkhaus/talgarten.jsp?pid=talgarten,open /   31,  31,open ,2019-11-17 19:15
Parkhaus USZ Nord / Frauenklinikstrasse,https://www.pls-zh.ch/parkhaus/unispital_nord.jsp?pid=unispital_nord,open /  114, 114,open ,2019-11-17 19:15
Parkhaus Uni Irchel / Winterthurerstrasse 181,https://www.pls-zh.ch/parkhaus/uni_irchel.jsp?pid=uni_irchel,open /  776, 776,open ,2019-11-17 19:15
Parkhaus Urania / Uraniastrasse 3,https://www.pls-zh.ch/parkhaus/urania.jsp?pid=urania,open /  333, 333,open ,2019-11-17 19:15
Parkhaus Utoquai / Färberstrasse 6,https://www.pls-zh.ch/parkhaus/utoquai.jsp?pid=utoquai,open /  131, 131,open ,2019-11-17 19:15
Parkhaus Züri 11 Shopping / Nansenstrasse 5/7,https://www.pls-zh.ch/parkhaus/zueri11.jsp?pid=zueri11,open /   45,  45,open ,2019-11-17 19:15
Parkhaus Zürichhorn / Dufourstrasse 142,https://www.pls-zh.ch/parkhaus/zuerichhorn.jsp?pid=zuerichhorn,open /   55,  55,open ,2019-11-17 19:15
Parkplatz Eisfeld / Thurgauerstrasse 54,https://www.pls-zh.ch/parkhaus/eisfeld.jsp?pid=eisfeld,open /  280, 280,open ,2019-11-17 19:15
Parkplatz Theater 11 / Dörfli-/Thurgauerstrasse,https://www.pls-zh.ch/parkhaus/theater_11.jsp?pid=theater_11,open /  141, 141,open ,2019-11-17 19:15
